id	lat	lng
7239	-12.081223746287298	-77.06264739647293
7287	-11.864341323279595	-77.0772203738486
8103	-11.928207199300358	-77.05673712742816
8128	-11.99221135199866	-77.04790436681378
10020	-12.086089295802578	-77.05418821717291
10971	-12.06248612696143	-77.04869032794977
11197	-12.079424926311962	-77.03296161486696
13571	-12.126942211955345	-77.01268179585776
13743	-12.1244749559379	-77.02903578346707
14018	-12.025679635134885	-77.01502983666768
14214	-12.075912701372737	-77.01805439897112
14251	-12.128517878999105	-76.99495951994243
14354	-12.127698439426768	-77.01821570765071
14687	-12.071240192637383	-77.05904769127272
15267	-12.052825743479154	-77.02249225263512
15490	-12.089408024066316	-77.07320866522292
15524	-12.113699198516386	-77.02722139070875
15637	-12.145803444337485	-77.00488657301634
15733	-12.030733263826438	-77.08802227546312
16765	-12.1476595569967	-77.0221895312481
16792	-12.054984195054201	-77.04925424538919
17077	-12.085669799877902	-77.03472569344996
17297	-12.054814224344282	-77.04734414525274
17470	-12.08508596908038	-76.99702719490887
17539	-11.999027272158946	-77.0496663244594
17577	-12.085763601918837	-77.03552020571499
17734	-12.11900675461246	-77.0255317534257
17840	-12.120761550775027	-77.00262187055114
17933	-12.11130676136816	-77.03673620707389
17975	-12.16019734100545	-76.95889640927572
18046	-12.102645212731185	-77.05256474296795
18081	-12.028512817132512	-77.03143345902646
18407	-12.083881184522886	-77.03791211674422
18454	-12.090516519847718	-76.99591535528623
18512	-12.03235825450736	-77.06499921311843
18633	-12.061947301819316	-77.00778528799862
18898	-12.054271255748166	-77.04307186015359
19019	-12.130203151061265	-77.00865357871277
19451	-12.054995393931412	-77.0490870013233
19507	-12.079005310736319	-77.0501643316216
20409	-12.108975904351675	-77.03841536484367
20494	-12.054715190070603	-77.04339106010087
20576	-12.072514338702765	-77.03774576488325
20651	-12.1963108	-77.00516149999999
20832	-12.031635106588846	-77.07429314379408
22705	-12.128246257440324	-77.01803591349181
22731	-12.05073755488525	-77.0302250351757
22745	-12.086107035455257	-77.0321589998012
22789	-12.050705720990196	-77.03029445040147
22908	-12.111496057467479	-76.99292049686142
23176	-12.080988457013662	-76.99401390000003
24253	-12.066935974992154	-76.94370623610638
24565	-11.107455908862335	-77.6093019595753
24609	-12.03549475748706	-77.03474119481007
24633	-11.9714739	-77.05776600000002
24968	-12.088461508516621	-76.99626717167183
25526	-12.12767835940907	-76.98774694632596
27297	-11.941011436632449	-77.0449151845815
27459	-12.06726738128273	-77.0288611733655
29129	-12.517058827951475	-76.73712358470863
30095	-12.080522808645306	-76.9864054680707
30161	-12.067324282868041	-76.94386110125811
62070	-11.107378052178644	-77.60717554034329
62569	-11.107360625541828	-77.60632789490893
62657	-13.076849452016981	-76.38550802767332
62664	-12.51556354207889	-76.73582979538423
82025	-12.05293844589645	-77.02959554016809
82136	-11.941555773120221	-77.06235285439499
82150	-11.983601351381305	-77.07207281748578
82153	-12.001595298070603	-77.05424735382229
82199	-12.106899774617764	-77.00114916987604
82238	-12.029804785468626	-77.09416189368403
82240	-12.032345343194152	-77.06502838810331
82336	-12.075024374368008	-77.046724635582
82357	-12.074089413888291	-77.04873812797649
82381	-12.06562170254897	-77.04772253372568
82399	-12.023168129738135	-77.05518135076608
82457	-12.048252	-77.0595945
82519	-12.032907487558308	-77.05465560476989
82541	-12.08145975953139	-77.08849785474325
82631	-11.905250018042505	-77.03164078332827
82708	-12.091927175814522	-77.03193565106653
82795	-11.990746502898453	-77.04524233292943
82890	-12.072778722885863	-77.00964512883604
82935	-11.985423794725003	-77.05638915852262
83256	-12.027358776120549	-77.00666590440551
83487	-12.053952823070038	-77.00412593558195
83524	-12.090557809871255	-76.8564887931152
